,key_name,description,files,category
1,awfactr,All woman factor - regional,"['IABR7EFL.DTA', 'IACR7EFL.DTA', 'IAIR7EFL.DTA', 'IAKR7EFL.DTA']",Primary Key
25,hhid,Case identification,['IAHR7EFL.DTA'],Primary Key
26,b1,Month of birth,"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
48,b11,Preceding birth interval (months),"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
49,b11_01,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
50,b11_02,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
51,b11_03,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
52,b11_04,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
53,b11_05,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
54,b11_06,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
55,b11_07,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
56,b11_08,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
57,b11_09,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
58,b11_10,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
59,b11_11,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
60,b11_12,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
61,b11_13,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
62,b11_14,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
63,b11_15,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
64,b11_16,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
65,b11_17,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
66,b11_18,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
67,b11_19,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
68,b11_20,Preceding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
69,b12,Succeeding birth interval (months),"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
70,b12_01,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
71,b12_02,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
72,b12_03,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
73,b12_04,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
74,b12_05,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
75,b12_06,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
76,b12_07,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
77,b12_08,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
78,b12_09,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
79,b12_10,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
80,b12_11,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
81,b12_12,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
82,b12_13,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
83,b12_14,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
84,b12_15,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
85,b12_16,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
86,b12_17,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
87,b12_18,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
88,b12_19,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
89,b12_20,Succeeding birth interval (months),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
111,b15,Live birth between births,"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
112,b15_01,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
113,b15_02,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
114,b15_03,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
115,b15_04,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
116,b15_05,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
117,b15_06,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
118,b15_07,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
119,b15_08,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
120,b15_09,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
121,b15_10,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
122,b15_11,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
123,b15_12,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
124,b15_13,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
125,b15_14,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
126,b15_15,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
127,b15_16,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
128,b15_17,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
129,b15_18,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
130,b15_19,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
131,b15_20,Live birth between births,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
132,b16,Child's line number in household,"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Primary Key
133,b16_01,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
134,b16_02,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
135,b16_03,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
136,b16_04,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
137,b16_05,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
138,b16_06,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
139,b16_07,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
140,b16_08,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
141,b16_09,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
142,b16_10,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
143,b16_11,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
144,b16_12,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
145,b16_13,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
146,b16_14,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
147,b16_15,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
148,b16_16,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
149,b16_17,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
150,b16_18,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
151,b16_19,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
152,b16_20,Child's line number in household,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Primary Key
153,b17,Day of birth,"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
154,b17_01,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
155,b17_02,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
156,b17_03,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
157,b17_04,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
158,b17_05,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
159,b17_06,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
160,b17_07,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
161,b17_08,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
162,b17_09,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
163,b17_10,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
164,b17_11,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
165,b17_12,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
166,b17_13,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
167,b17_14,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
168,b17_15,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
169,b17_16,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
170,b17_17,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
171,b17_18,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
172,b17_19,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
173,b17_20,Day of birth,"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
174,b18,Century Day Code of birth (CDC),"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
175,b18_01,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
176,b18_02,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
177,b18_03,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
178,b18_04,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
179,b18_05,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
180,b18_06,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
181,b18_07,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
182,b18_08,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
183,b18_09,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
184,b18_10,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
185,b18_11,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
186,b18_12,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
187,b18_13,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
188,b18_14,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
189,b18_15,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
190,b18_16,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
191,b18_17,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
192,b18_18,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
193,b18_19,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
194,b18_20,Century Day Code of birth (CDC),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
195,b19,Current age of child in months (months since birth for dead children),"['IABR7EFL.DTA', 'IAKR7EFL.DTA']",Feature
196,b19_01,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
197,b19_02,Current age of child in months (months since birth for dead children),"['IACR7EFL.DTA', 'IAIR7EFL.DTA']",Feature
